lfp_gr_SonyMurata3Ah_2018,Lfp_Gr_SonyMurata3Ah_Battery
nmc111_gr_Sanyo2Ah_2014,Nmc111_Gr_Sanyo2Ah_Battery
nmc811_grSi_LGMJ1_4Ah_2020,Nmc811_GrSi_LGMJ1_4Ah_Battery
nca_gr_Panasonic3Ah_2018,Nca_Gr_Panasonic3Ah_Battery
nmc_lto_10Ah_2020,Nmc_Lto_10Ah_Battery
lmo_gr_NissanLeaf66Ah_2ndLife_2020,Lmo_Gr_NissanLeaf66Ah_2ndLife_Battery
nmc111_gr_Kokam75Ah_2017,Nmc111_Gr_Kokam75Ah_Battery
lfp_gr_250AhPrismatic_2022,Lfp_Gr_250AhPrismatic_2022
nmc_gr_75Ah_A_2022,NMC_Gr_75Ah_A_2022
nmc_gr_50Ah_B1_2022,NMC_Gr_50Ah_B1_2022
nmc_gr_50Ah_B2_2022,NMC_Gr_50Ah_B2_2022
